"","drama","length","begin","end","Speaker.figure_surface","Speaker.figure_id","Token.surface","Token.pos","Token.lemma"
"200","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"sprich","VVIMP","sprich"
"201","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"sein","PPOSAT","sein"
"202","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"ganzes","ADJA","ganz"
"203","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Haus","NN","haus"
"204","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,",","$,","--"
"205","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"so","ADV","so"
"206","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"hast","VAFIN","haben"
"207","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Du's","NE","du's"
"208","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"sichrer","ADJD","sichrer"
"209","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,".","$.","--"
"210","r0px.0",25616,2454,2548,"Ottokar, ihr Sohn.",2,"Rache","NN","rache"
"211","r0px.0",25616,2454,2548,"Ottokar, ihr Sohn.",2,"!","$.","--"
"212","r0px.0",25616,2454,2548,"Ottokar, ihr Sohn.",2,"schwör","ADJD","schwör"
"213","r0px.0",25616,2454,2548,"Ottokar, ihr Sohn.",2,"ich","PPER","ich"
"214","r0px.0",25616,2454,2548,"Ottokar, ihr Sohn.",2,",","$,","--"
"215","r0px.0",25616,2454,2548,"Ottokar, ihr Sohn.",2,"Rache","NN","rache"
"216","r0px.0",25616,2454,2548,"Ottokar, ihr Sohn.",2,"!","$.","--"
"217","r0px.0",25616,2454,2548,"Ottokar, ihr Sohn.",2,"Dem","ART","der"
"218","r0px.0",25616,2454,2548,"Ottokar, ihr Sohn.",2,"Mörderhaus","NN","mörderhaus"
"219","r0px.0",25616,2454,2548,"Ottokar, ihr Sohn.",2,"Sylvesters","NE","sylvester"
"220","r0px.0",25616,2454,2548,"Ottokar, ihr Sohn.",2,".","$.","--"
"221","r0px.0",25616,2554,2595,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Eustache","NN","eustache"
"222","r0px.0",25616,2554,2595,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,",","$,","--"
"223","r0px.0",25616,2554,2595,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Die","ART","der"
"224","r0px.0",25616,2554,2595,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Reihe","NN","reihe"
"225","r0px.0",25616,2554,2595,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"ist","VAFIN","sein"
"226","r0px.0",25616,2554,2595,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"an","APPR","an"
"227","r0px.0",25616,2554,2595,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"dir","PPER","dir"
"228","r0px.0",25616,2554,2595,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,".","$.","--"
"229","r0px.0",25616,2601,2647,"Eustache, seine Gemahlin.",1,"Verschone","NN","verschone"
"230","r0px.0",25616,2601,2647,"Eustache, seine Gemahlin.",1,"mich","PPER","mich"
"231","r0px.0",25616,2601,2647,"Eustache, seine Gemahlin.",1,",","$,","--"
"232","r0px.0",25616,2601,2647,"Eustache, seine Gemahlin.",1,"Ich","PPER","ich"
"233","r0px.0",25616,2601,2647,"Eustache, seine Gemahlin.",1,"bin","VAFIN","sein"
"234","r0px.0",25616,2601,2647,"Eustache, seine Gemahlin.",1,"ein","ART","ein"
"235","r0px.0",25616,2601,2647,"Eustache, seine Gemahlin.",1,"Weib","NN","weib"
"236","r0px.0",25616,2601,2647,"Eustache, seine Gemahlin.",1,"–","XY","–"
"237","r0px.0",25616,2653,2687,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Und","KON","und"
"238","r0px.0",25616,2653,2687,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Mutter","NN","mutter"
